Problem,Vehicles,Packages,Cities,Locations,Roads,Stateslat
1,4,16,1,40,82,$10^{32}$\\
2,4,18,1,45,85,$10^{37}$\\
3,4,18,3,54,117,$10^{38}$\\
4,4,12,2,36,84,$10^{25}$\\
5,4,14,2,42,76,$10^{29}$\\
6,4,16,2,48,96,$10^{34}$\\
7,4,18,2,54,110,$10^{38}$\\
8,4,20,1,50,105,$10^{41}$\\
9,4,20,2,60,128,$10^{43}$\\
10,4,20,3,60,113,$10^{43}$\\\midrule
11,4,22,1,50,92,$10^{44}$\\
12,4,20,1,53,101,$10^{42}$\\
13,4,22,1,53,101,$10^{45}$\\
14,4,22,2,120,229,$10^{54}$\\
15,4,20,2,124,239,$10^{50}$\\
16,4,22,2,124,239,$10^{54}$\\
17,4,22,3,180,347,$10^{58}$\\
18,4,20,3,189,361,$10^{54}$\\
19,4,22,3,189,361,$10^{59}$\\
20,4,22,3,198,392,$10^{59}$
