Problem, Vehicles, Packages, Locations, Roads, MaxCapacity
p01, 2, 2, 5, 12, 4
p02, 2, 4, 10, 28, 4
p03, 3, 6, 15, 66, 4
p04, 3, 8, 20, 70, 4
p05, 3, 10, 25, 92, 4
p06, 4, 12, 30, 138, 4
p07, 4, 14, 35, 136, 4
p08, 4, 16, 40, 164, 4
p09, 4, 18, 45, 170, 4
p10, 4, 20, 50, 210, 4
p11, 2, 2, 6, 12, 4
p12, 2, 4, 12, 32, 4
p13, 3, 6, 18, 58, 4
p14, 3, 8, 24, 88, 4
p15, 3, 10, 30, 132, 4
p16, 4, 12, 36, 168, 4
p17, 4, 14, 42, 152, 4
p18, 4, 16, 48, 192, 4
p19, 4, 18, 54, 220, 4
p20, 4, 20, 60, 256, 4
p21, 2, 2, 6, 12, 4
p22, 2, 4, 12, 30, 4
p23, 3, 6, 18, 64, 4
p24, 3, 8, 24, 74, 4
p25, 3, 10, 30, 114, 4
p26, 4, 12, 36, 166, 4
p27, 4, 14, 42, 170, 4
p28, 4, 16, 48, 248, 4
p29, 4, 18, 54, 234, 4
p30, 4, 20, 60, 226, 4
